week_day,holiday,day_of_month,result,price
6,1,21,1,12
0,1,22,0,0
1,0,23,0,0
2,0,24,0,0
3,0,25,0,0
4,0,26,0,0
5,0,27,0,0
6,1,28,0,0
0,1,29,0,0
1,0,30,0,0
2,0,1,0,0
3,0,2,0,0
4,0,3,0,0
5,0,4,0,0
6,1,5,0,0
0,1,6,0,0
1,0,7,0,0
2,0,8,0,0
3,0,9,0,0
4,0,10,0,0
5,0,11,0,0
6,1,12,0,0
0,1,13,0,0
1,0,14,0,0
2,0,15,0,0
3,0,16,0,0
4,0,17,0,0
5,0,18,0,0
6,1,19,0,0
0,1,20,0,0
1,0,21,1,12
2,0,22,0,0
3,0,23,0,0
4,0,24,0,0
5,0,25,0,0
6,1,26,0,0
0,1,27,0,0
1,0,28,0,0
2,0,29,0,0
3,0,30,0,0
4,0,31,0,0
5,0,1,0,0
6,1,2,0,0
0,1,3,0,0
1,0,4,0,0
2,0,5,0,0
3,0,6,0,0
4,0,7,0,0
5,0,8,0,0
6,1,9,0,0
0,1,10,0,0
1,0,11,0,0
2,0,12,0,0
3,0,13,0,0
4,0,14,0,0
5,0,15,0,0
6,1,16,0,0
0,1,17,0,0
1,1,18,0,0
2,1,19,0,0
3,1,20,0,0
4,1,21,1,12
5,1,22,0,0
6,1,23,0,0
0,1,24,0,0
1,0,25,0,0
2,0,26,0,0
3,0,27,0,0
4,0,28,0,0
5,0,29,0,0
6,1,30,0,0
0,1,1,0,0
1,0,2,0,0
2,0,3,0,0
3,0,4,0,0
4,0,5,0,0
5,0,6,0,0
6,1,7,0,0
0,1,8,0,0
1,0,9,0,0
2,0,10,0,0
3,0,11,0,0
4,0,12,0,0
5,0,13,0,0
6,1,14,0,0
0,1,15,0,0
1,0,16,0,0
2,1,17,0,0
3,1,18,0,0
4,1,19,0,0
5,1,20,0,0
6,1,21,1,12
0,1,22,0,0
1,1,23,0,0
2,1,24,0,0
3,1,25,0,0
4,1,26,0,0
5,1,27,0,0
6,1,28,0,0
0,1,29,0,0
1,1,30,0,0
2,1,31,0,0
3,1,1,0,0
4,1,2,0,0
5,1,3,0,0
6,1,4,0,0
0,1,5,0,0
1,0,6,0,0
2,0,7,0,0
3,0,8,0,0
4,0,9,0,0
5,0,10,0,0
6,1,11,0,0
0,1,12,0,0
1,0,13,0,0
2,0,14,0,0
3,0,15,0,0
4,0,16,0,0
5,0,17,0,0
6,1,18,0,0
0,1,19,0,0
1,0,20,0,0
